0.0,0.0,0.0,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,25.0,25.0,5.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0.1,17.0,25.0,115.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.0,25.0,25.0,5.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.1,25.0,25.0,999.0,0,999,0,0,0,0,0,0,0,0,0,0,1.0,13.0,5.7
0.0,0.0,0.0,25.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,182.0,25.0,15.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.6,170.0,180.0,140.0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2,180.0,180.0,999.0,0,999,0,0,0,0,0,0,180.0,0,0,0,1.0,12.0,5.0
0.0,0.0,0.0,180.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1.0,2.0,0.0,0.0,0.0,0.0
1.0,0.6,358,25.0,199.46,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2,25.0,25.0,999.0,0,999,0,0,0,0,0,0,0,0,0,0,1.0,14.5,5.2
0.0,0.0,0.0,25.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,999,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0
